CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
437,HHO,mmecHost[5],20,0,20,1.294143776244704E9,2.0E9,8.812880650370964E10,1.0E11,2504.7368731869146,3000.0,1000000.0,6240.579139362918,8500.636257132912,7525.486,2620.568,6018.819514577117,0,0.0
438,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7529.417,2608.355,7968.414909247259,0,0.0
439,HHO,mmecHost[15],20,0,20,1.0671299048373761E9,2.0E9,8.609363657663113E10,1.0E11,1901.435377909998,3000.0,1000000.0,8449.754782946495,3955.4011069333774,7459.891,2797.472,1523.3614559495309,0,0.0
440,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7464.256,2784.827,7966.829924974237,0,0.0
441,HHO,mmecHost[7],20,0,20,1.4716921271217883E9,2.0E9,2.2529967800636086E10,1.0E11,1143.7746443814385,3000.0,1000000.0,7362.043088190569,7623.132275419912,7468.629,2772.633,4851.670204934106,0,0.0
442,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7473.527,2760.507,7967.05746915246,0,0.0
443,HHO,mmecHost[4],20,0,20,1.6091564625830715E9,2.0E9,6.4313329865138824E10,1.0E11,2227.328049200198,3000.0,1000000.0,5971.305173777478,5368.592267020873,7478.575,2748.418,3022.7761277671952,0,0.0
444,HHO,mmecHost[13],20,0,20,1.1429628496083705E9,2.0E9,7.107348879167075E10,1.0E11,1896.2476201914858,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7483.397,2736.385,7865.438534200632,0,0.0
445,HHO,mmecHost[8],20,0,20,1.465979775327908E9,2.0E9,5.423679414762458E10,1.0E11,1468.3180489978595,3000.0,1000000.0,5821.80582306546,7488.360208027685,7488.311,2724.306,5047.1231411345525,0,0.0
446,HHO,mmecHost[13],20,0,20,1.20024639119603E9,2.0E9,7.005126206267587E10,1.0E11,1604.1774839903255,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7493.582,2711.801,7890.619609009407,0,0.0
447,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7498.406,2699.151,7969.410810194001,0,0.0
448,HHO,mmecHost[1],20,0,20,1.4094867832656546E9,2.0E9,4.3265186708580696E10,1.0E11,1590.2217239705108,3000.0,1000000.0,2924.108237733241,8129.87407049067,7503.121,2687.046,7112.786745145889,0,0.0
449,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.627,2674.483,7969.7755607305535,0,0.0
450,HHO,mmecHost[20],20,0,20,1.7355597501598203E9,2.0E9,6.4342344693130615E10,1.0E11,1811.5082050003778,3000.0,1000000.0,4668.295921547615,8567.03294759933,7511.919,2661.673,6554.347284285246,0,0.0
451,HHO,mmecHost[4],20,0,20,1.346062082134719E9,2.0E9,5.669029058547338E10,1.0E11,1909.7154810660022,3000.0,1000000.0,5971.305173777478,5368.592267020873,7516.109,2649.166,3127.5706360168474,0,0.0
